hash,cadical_runtimes,cadical_elimfalse_runtimes,cadical_pripro_runtimes,cadical_stability_runtimes,candy_runtimes,glucose_chanseok_runtimes,glucose_runtimes,glucose_syrup_runtimes,glucose_var_decay099_runtimes,kissat_runtimes,kissat_sweep_runtimes,lingeling_runtimes,lstech_maple_runtimes,march_nh_runtimes,minisat__runtimes,relaxed__runtimes,slime_runtimes,yalsat_runtimes
99dd8839a19c9d3aae54c624a5c5e8ae,0.00,0.00,0.00,0.00,3.99,2.49,2.49,2.89,2.79,0.00,0.00,1.19,2.59,2.79,2.49,2.69,2.79,0.00
99ec9d5e50f24301638101b2a7dba6e0,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
99f78e77c6b2198f95424cee8234557d,714.95,201.58,165.89,821.37,93.28,9.19,231.69,567.30,325.86,486.97,390.78,249.58,380.38,162.99,1136.61,88.98,135.98,timeout
9a296539e33398c9ae36663371a63b39,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
9a40f58b6cb174cd771d99f393aef61e,3.29,3.79,2.98,3.59,8.89,5.69,5.89,17.68,6.00,32.69,33.48,519.68,16.89,timeout,5.20,75.69,81.19,timeout
9a4e05c9741963618893549d1a03f5d0,68.49,752.76,149.88,44.78,358.07,261.78,222.96,327.61,29.09,132.47,253.58,46.98,138.89,503.67,209.78,1715.65,112.89,timeout
9a910a91c04c8626904f860e09aa74a3,1369.85,timeout,1792.12,1516.34,3152.69,867.87,953.95,3311.00,658.07,873.56,821.06,1244.21,1025.46,timeout,4417.29,1138.50,1003.14,timeout
9add259e9393a56351e1a8a5709ea5cf,0.00,0.00,0.00,0.00,44.09,23.88,22.09,22.20,24.19,0.00,0.00,17.58,22.69,2.09,22.59,23.89,24.19,0.00
9b3ca1389f989ebf68bffd2cd649395b,129.18,timeout,timeout,437.83,timeout,timeout,timeout,13020.68,timeout,210.18,timeout,timeout,timeout,timeout,3651.60,4452.57,623.07,timeout
9b81119141db098dd4bfb24a1d244e68,2474.61,2592.90,1670.24,2535.49,1434.02,2823.12,1467.01,2708.06,1434.43,2023.18,1983.60,timeout,1044.44,timeout,timeout,1095.42,1010.00,timeout
9bd299393602718a39efb1dd62fbe1a3,990.37,1813.50,1090.52,1025.14,2264.72,1039.06,1258.74,2281.30,1656.83,206.38,204.98,576.16,273.17,timeout,1399.42,902.15,845.56,timeout
9c03d0b44439e39515b61409f00380bf,258.64,76.69,124.98,225.88,2865.77,128.28,125.18,594.29,105.79,166.88,179.68,915.14,1129.40,timeout,timeout,943.65,1622.41,timeout
9c162333ef5c123acf4ee71ca909a450,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
9c2e734d6c0faeef8a89aa84436fc42d,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
352c5beb1a63de6fb79da1afc3815e0d,0.59,0.49,0.59,0.49,178.59,110.08,108.78,146.28,104.09,0.29,0.29,16.49,107.68,140.58,143.08,113.39,119.98,timeout
9c5b0cccda51996a35cf9c57616b2fbb,5.39,7.79,7.19,4.89,2.49,0.89,0.99,3.04,0.89,6.39,2.69,16.89,6.07,1.79,2.49,9.99,10.29,timeout
9ccbe08418189ca1e7ee284564359d4d,398.97,251.58,764.48,3645.78,timeout,timeout,841.54,1781.89,timeout,timeout,timeout,timeout,1096.44,timeout,timeout,4865.56,timeout,timeout
9d5c62b763d68600804562ced442b033,72.58,83.09,164.00,40.79,166.98,3.69,168.68,97.03,18.09,37.79,24.29,82.58,125.18,87.37,100.09,57.08,224.46,timeout
9da32436de386f3b4f8e6ec1db552349,634.67,236.27,91.49,342.17,timeout,377.53,179.17,647.64,219.08,242.78,225.68,timeout,116.28,timeout,timeout,timeout,1295.82,timeout
9dd246543ae101f829b5cfc226473675,timeout,2805.49,timeout,timeout,313.87,timeout,timeout,timeout,410.73,523.66,494.75,timeout,51.28,timeout,timeout,658.26,511.50,timeout
9e35558ea8ffba630cd8c8f90e14af14,1761.81,3936.40,1658.82,1391.23,4073.71,timeout,timeout,18981.34,timeout,1887.59,1528.05,2054.88,2395.55,timeout,2901.35,timeout,timeout,timeout
9e421b7671701520ce1d90479a51b374,3546.73,4120.94,4414.36,3610.67,timeout,timeout,timeout,timeout,timeout,4997.29,timeout,timeout,1712.42,4297.22,timeout,1684.12,1142.74,timeout
9e4503aae7d11bcb1b0db57f02996280,328.58,449.28,307.18,295.26,264.18,87.29,64.98,322.92,59.28,75.99,73.09,307.27,293.18,timeout,131.98,208.38,358.47,timeout
9e469bffc3f862d6321d84a4ef83969c,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,951.35,4110.05,timeout,477.28,timeout,timeout,1848.03,timeout,timeout
9e5f847d97c4aa584e9c89d342ff886b,838.16,791.02,323.36,796.25,417.97,288.18,392.03,1236.14,145.08,75.08,86.27,238.79,197.68,92.90,795.26,200.78,258.98,timeout
9e7459d0157074bf104bf61180c0a8cc,118.99,84.18,104.89,63.99,83.38,7.29,39.69,104.07,5.29,14.59,17.39,184.78,24.59,235.30,1.80,0.39,0.20,1.89
9ea8deb8313d93e60743638909f37d6c,1835.02,2166.25,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4161.60,timeout,4088.68,timeout,timeout,timeout
9eb044b760cce747a2e694f55dd42950,6.19,184.28,284.87,181.99,81.48,217.88,162.49,471.61,92.78,130.28,337.28,699.39,57.09,7.39,297.18,157.79,326.37,timeout
9ee9f18f9057c696a5a6f74e9970ff2e,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
9ef9243ff051b32795890fccd6c3f6b2,95.79,95.89,475.37,107.29,timeout,timeout,timeout,timeout,timeout,19.39,106.19,timeout,5.79,timeout,timeout,930.86,708.68,268.60
9ef9ffde472b8cbd6387033b1c8ee975,timeout,timeout,4670.99,timeout,timeout,timeout,timeout,19198.57,2052.78,1553.72,1572.53,2334.49,2274.33,434.98,timeout,2409.80,2318.87,timeout
9efb0648407d77586c9ca36818468f44,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,2416.86,2403.07,30.99,timeout,timeout,timeout,timeout,timeout,timeout
9f07f970847c32165ed1a27933e18a92,2.40,2.39,4.99,4.19,2.59,0.98,0.59,2.70,0.80,3.69,2.69,14.89,5.69,0.90,1.60,8.79,9.69,timeout
9f7b07a2434f2147b6e2a2a74214b211,212.55,72.49,46.09,84.29,20.88,125.88,4.50,71.91,0.99,53.29,237.17,28.59,241.76,timeout,72.59,35.49,89.19,timeout
9fa4a979d56861ad89c302e0c4a95f10,69.17,222.18,46.19,276.89,49.39,205.48,259.37,1238.35,209.69,372.77,232.58,810.89,367.78,6.69,824.34,118.48,153.19,timeout
9fd7630f8c97a67989383e0c69bb1d49,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
ece6f28f74bd36047d07ccc0b81ce131,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a04892664f2c13d2c191eb87ddc5405b,1306.11,timeout,944.26,timeout,timeout,timeout,timeout,19383.54,timeout,1947.15,527.46,1290.65,1546.04,timeout,timeout,3431.87,1202.15,timeout
