  ,mean_fit_time     ,std_fit_time        ,mean_score_time      ,std_score_time        ,param_model__solver,param_model__max_iter,param_model__learning_rate,param_model__hidden_layer_sizes,param_model__alpha,params                                                                                                                                                        ,split0_test_score     ,split1_test_score   ,split2_test_score   ,mean_test_score     ,std_test_score      ,rank_test_score
14,98.78384741147359 ,3.2081218994871854  ,0.004663785298665364 ,0.0004715957797873884 ,adam               ,9265                 ,constant                  ,"(320,)"                       ,0.005             ,"{'model__solver': 'adam', 'model__max_iter': 9265, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (320,), 'model__alpha': 0.005}"          ,0.20501275718942769   ,0.016104752097203634,0.16779090624503445 ,0.12963613851055525 ,0.08170433820646644 ,15
15,134.65901192029318,0.9570268310382963  ,0.006995201110839844 ,0.0014146196395690388 ,adam               ,7500                 ,constant                  ,"(485,)"                       ,0.0001            ,"{'model__solver': 'adam', 'model__max_iter': 7500, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (485,), 'model__alpha': 0.0001}"         ,0.18385672631033456   ,-0.08897386892567472,0.20430129193959234 ,0.09972804977475073 ,0.1336931951817512  ,16
16,156.37691378593445,6.4178354563964755  ,0.006331443786621094 ,0.0012475111905594727 ,adam               ,9563                 ,constant                  ,"(485,)"                       ,0.005             ,"{'model__solver': 'adam', 'model__max_iter': 9563, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (485,), 'model__alpha': 0.005}"          ,0.2407399405126307    ,-0.15058508563534567,0.15470599498766524 ,0.08162028328831676 ,0.16790862587208719 ,17
17,82.15002385775249 ,1.1285185002691842  ,0.013661066691080729 ,0.0012490870082255891 ,adam               ,7381                 ,adaptive                  ,"(380, 380, 380)"              ,0.01              ,"{'model__solver': 'adam', 'model__max_iter': 7381, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (380, 380, 380), 'model__alpha': 0.01}"  ,0.31160762295728595   ,-0.7315195437611897 ,-0.40397244482858263,-0.27462812187749547,0.4355655610018504  ,18
18,80.79480202992757 ,4.2387338398345955  ,0.015993436177571613 ,0.0008135175766429314 ,adam               ,4365                 ,constant                  ,"(380, 380, 380)"              ,0.0001            ,"{'model__solver': 'adam', 'model__max_iter': 4365, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (380, 380, 380), 'model__alpha': 0.0001}",0.2950600296448719    ,-1.065311911124191  ,-0.17242601780581124,-0.3142259664283768 ,0.5643482219221087  ,19
19,45.35439864794413 ,2.6259322533720746  ,0.005663553873697917 ,0.001698974322587995  ,adam               ,5555                 ,adaptive                  ,"(70, 70)"                     ,0.001             ,"{'model__solver': 'adam', 'model__max_iter': 5555, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (70, 70), 'model__alpha': 0.001}"        ,0.14104499612005417   ,-1.1101502717283447 ,-0.12979279194511117,-0.3662993558511339 ,0.5374780092552822  ,20
20,57.3502090771993  ,3.695239111577346   ,0.005662123362223308 ,0.0009406077046206146 ,adam               ,7103                 ,adaptive                  ,"(171, 171)"                   ,0.01              ,"{'model__solver': 'adam', 'model__max_iter': 7103, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (171, 171), 'model__alpha': 0.01}"       ,0.1973287243657731    ,-1.101654397986315  ,-0.31592979917383723,-0.406751824264793  ,0.5341820964303662  ,21
21,5.230673551559448 ,0.012491948813824457,0.007995525995890299 ,0.0008159507339179885 ,lbfgs              ,258                  ,adaptive                  ,"(171, 171)"                   ,0.05              ,"{'model__solver': 'lbfgs', 'model__max_iter': 258, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (171, 171), 'model__alpha': 0.05}"       ,0.10275229833504151   ,-0.8183864626313735 ,-0.8236261612151536 ,-0.5130867751704952 ,0.43546923883127164 ,22
22,270.63924805323285,25.014522931186853  ,0.017655690511067707 ,0.0020535883796245027 ,adam               ,7758                 ,adaptive                  ,"(516, 516)"                   ,0.001             ,"{'model__solver': 'adam', 'model__max_iter': 7758, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (516, 516), 'model__alpha': 0.001}"      ,0.19689086898788322   ,-0.852889249029086  ,-1.3302493626222618 ,-0.6620825808878216 ,0.6378843731199513  ,23
23,277.77916288375854,31.825599057793866  ,0.020321130752563477 ,0.0004708658088359549 ,adam               ,7976                 ,adaptive                  ,"(516, 516)"                   ,0.0001            ,"{'model__solver': 'adam', 'model__max_iter': 7976, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (516, 516), 'model__alpha': 0.0001}"     ,0.25457219635028616   ,-0.9996770948338025 ,-1.2622984650474796 ,-0.669134454510332  ,0.6619002838576882  ,24
24,42.23118527730306 ,6.330154901135296   ,0.004664023717244466 ,0.0009426856423088916 ,adam               ,6309                 ,constant                  ,"(70, 70)"                     ,0.0001            ,"{'model__solver': 'adam', 'model__max_iter': 6309, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (70, 70), 'model__alpha': 0.0001}"       ,-0.0025908346448764163,-1.7179733564167199 ,-0.43703720617926956,-0.7192004657469552 ,0.7281695671510761  ,25
25,64.37319143613179 ,1.0150887573708054  ,0.00699623425801595  ,0.0014128747670920149 ,adam               ,9702                 ,adaptive                  ,"(171, 171)"                   ,0.005             ,"{'model__solver': 'adam', 'model__max_iter': 9702, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (171, 171), 'model__alpha': 0.005}"      ,0.1656277821926495    ,-3.269925206901286  ,-0.2711133236982042 ,-1.1251369161356137 ,1.5270392502154493  ,26
26,1.5521138509114583,0.035305181142810164,0.005662600199381511 ,0.00047080875797289405,adam               ,100                  ,adaptive                  ,"(485,)"                       ,0.01              ,"{'model__solver': 'adam', 'model__max_iter': 100, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (485,), 'model__alpha': 0.01}"            ,-1.2936045545457833   ,-1.2457258782475864 ,-1.1815984103508756 ,-1.2403096143814152 ,0.04588642515351429 ,27
27,267.78543734550476,3.2168839045743054  ,0.0176543394724528   ,0.0016986935018065948 ,lbfgs              ,1587                 ,adaptive                  ,"(380, 380, 380)"              ,0.01              ,"{'model__solver': 'lbfgs', 'model__max_iter': 1587, 'model__learning_rate': 'adaptive', 'model__hidden_layer_sizes': (380, 380, 380), 'model__alpha': 0.01}" ,-3.6400543420916245   ,-11.735052926692926 ,-4.804260110323678  ,-6.726455793036076  ,3.5733623478131356  ,28
28,3.6442526976267495,0.08395902877472289 ,0.0069933732350667315,0.001412876094762368  ,lbfgs              ,476                  ,constant                  ,"(152,)"                       ,0.05              ,"{'model__solver': 'lbfgs', 'model__max_iter': 476, 'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (152,), 'model__alpha': 0.05}"           ,-2.8652571404890512   ,-6.269748960654955  ,-13.803224297451731 ,-7.646076799531912  ,4.570229033046327   ,29
