   ,mean_fit_time       ,std_fit_time         ,mean_score_time     ,std_score_time       ,param_model__C    ,param_model__cache_size,param_model__gamma   ,param_model__kernel,param_model__max_iter,params                                                                                                                                              ,split0_test_score    ,split1_test_score   ,split2_test_score    ,mean_test_score      ,std_test_score      ,rank_test_score
0  ,0.09568047523498535 ,0.00400333234550316  ,0.04067532221476237 ,0.004092063438913589 ,51.13265640661033 ,200                    ,0.22709741251283577  ,rbf                ,3948                 ,"{'model__C': 51.13265640661033, 'model__cache_size': 200, 'model__gamma': 0.22709741251283577, 'model__kernel': 'rbf', 'model__max_iter': 3948}"   ,0.4104748967642471   ,0.5175712445923533  ,0.3485540307114635   ,0.42553339068935464  ,0.06981773092123034 ,1
1  ,0.09795331954956055 ,0.007259249881978043 ,0.04729644457499186 ,0.007307300943484235 ,31.602344511564933,200                    ,0.24183010919991277  ,rbf                ,5099                 ,"{'model__C': 31.602344511564933, 'model__cache_size': 200, 'model__gamma': 0.24183010919991277, 'model__kernel': 'rbf', 'model__max_iter': 5099}"  ,0.3724723255475261   ,0.5224191100950282  ,0.37793540179174556  ,0.4242756124781      ,0.06943376169115204 ,2
2  ,0.07606951395670573 ,0.0007510012249577311,0.045715649922688804,0.0031899206185348784,27.211868261923073,500                    ,0.2328445680867632   ,rbf                ,1310                 ,"{'model__C': 27.211868261923073, 'model__cache_size': 500, 'model__gamma': 0.2328445680867632, 'model__kernel': 'rbf', 'model__max_iter': 1310}"   ,0.3597801575677887   ,0.5279098794933959  ,0.3842519835528213   ,0.4239806735380019   ,0.07416502974065986 ,3
3  ,0.10094714164733887 ,0.007867020150404828 ,0.03997302055358887 ,0.006377940612964723 ,38.96208759273199 ,500                    ,0.25855228405556024  ,rbf                ,5079                 ,"{'model__C': 38.96208759273199, 'model__cache_size': 500, 'model__gamma': 0.25855228405556024, 'model__kernel': 'rbf', 'model__max_iter': 5079}"   ,0.38877444192214705  ,0.5157755248632432  ,0.36712288063038423  ,0.42389094913859154  ,0.06557071993233554 ,4
4  ,0.09229882558186848 ,0.0009195930456304004,0.04169456164042155 ,0.002574114683173215 ,60.97891815881622 ,500                    ,0.21479795930605772  ,rbf                ,2619                 ,"{'model__C': 60.97891815881622, 'model__cache_size': 500, 'model__gamma': 0.21479795930605772, 'model__kernel': 'rbf', 'model__max_iter': 2619}"   ,0.42039881998176165  ,0.5158757560639048  ,0.33313494748432715  ,0.4231365078433312   ,0.07462873432845198 ,5
5  ,0.07358280817667644 ,0.0009021654510945489,0.04465508460998535 ,0.005510673622832869 ,10.534372375643704,200                    ,0.23579072969624537  ,rbf                ,1587                 ,"{'model__C': 10.534372375643704, 'model__cache_size': 200, 'model__gamma': 0.23579072969624537, 'model__kernel': 'rbf', 'model__max_iter': 1587}"  ,0.3074695456889057   ,0.5468718425920334  ,0.41470791166021703  ,0.42301643331371874  ,0.09791199650595546 ,6
6  ,0.11745611826578777 ,0.005158542433226827 ,0.0485693613688151  ,0.011805827877686246 ,61.76293433653791 ,500                    ,0.22463679382387733  ,rbf                ,8670                 ,"{'model__C': 61.76293433653791, 'model__cache_size': 500, 'model__gamma': 0.22463679382387733, 'model__kernel': 'rbf', 'model__max_iter': 8670}"   ,0.42187333294493146  ,0.5158758971883437  ,0.3274545188509388   ,0.4217345829947379   ,0.0769227681609001  ,7
7  ,0.07529457410176595 ,0.0036864143122911377,0.03874699274698893 ,0.002882351327686586 ,50.23310023986688 ,1000                   ,0.16898967774861262  ,rbf                ,1687                 ,"{'model__C': 50.23310023986688, 'model__cache_size': 1000, 'model__gamma': 0.16898967774861262, 'model__kernel': 'rbf', 'model__max_iter': 1687}"  ,0.39304876517933585  ,0.5245251169445799  ,0.34100452224029243  ,0.41952613478806944  ,0.07722581820523476 ,8
8  ,0.06196324030558268 ,0.0029431136888641175,0.03664565086364746 ,0.003768939781238188 ,27.687704543790314,500                    ,0.2275123225194523   ,rbf                ,814                  ,"{'model__C': 27.687704543790314, 'model__cache_size': 500, 'model__gamma': 0.2275123225194523, 'model__kernel': 'rbf', 'model__max_iter': 814}"    ,0.3633584132145674   ,0.516492589505039   ,0.3727525661538401   ,0.4175345229578155   ,0.07007893991033798 ,9
9  ,0.05989384651184082 ,0.0032660634967908984,0.04497512181599935 ,0.010708679023698008 ,28.770400498043664,1000                   ,0.2670137924399327   ,rbf                ,814                  ,"{'model__C': 28.770400498043664, 'model__cache_size': 1000, 'model__gamma': 0.2670137924399327, 'model__kernel': 'rbf', 'model__max_iter': 814}"   ,0.3671509210928816   ,0.5102016663757377  ,0.3714815763226246   ,0.4162780545970813   ,0.06643755103273324 ,10
10 ,0.06895947456359863 ,0.004542934005325218 ,0.04398337999979655 ,0.0035635730445935454,2.333252359832339 ,1000                   ,0.09463708738997988  ,rbf                ,3452                 ,"{'model__C': 2.333252359832339, 'model__cache_size': 1000, 'model__gamma': 0.09463708738997988, 'model__kernel': 'rbf', 'model__max_iter': 3452}"  ,0.2694840609645124   ,0.5507016169326779  ,0.42657516063084433  ,0.41558694617601155  ,0.1150692084178217  ,11
11 ,0.10127512613932292 ,0.005434607309947578 ,0.04664452870686849 ,0.014418961329818767 ,32.81756586386034 ,200                    ,0.1680907167487997   ,rbf                ,4444                 ,"{'model__C': 32.81756586386034, 'model__cache_size': 200, 'model__gamma': 0.1680907167487997, 'model__kernel': 'rbf', 'model__max_iter': 4444}"    ,0.35190232079467176  ,0.5330424326028822  ,0.3600581095068235   ,0.41500095430145917  ,0.08353431299798629 ,12
