  ,mean_fit_time     ,std_fit_time        ,mean_score_time     ,std_score_time       ,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params                                                                                                                                                ,split0_test_score  ,split1_test_score  ,split2_test_score  ,mean_test_score    ,std_test_score      ,rank_test_score
13,3.2398136456807456,0.15295295387250488 ,0.12759502728780112 ,0.002866993795267274 ,1000                     ,5                             ,2                            ,sqrt                     ,40                    ,"{'model__n_estimators': 1000, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 40}"   ,0.3519335104072874 ,0.5321973733187699 ,0.48096622467962646,0.45503236946856124,0.07584277026640406 ,14
14,2.483917713165283 ,0.03133739289480944 ,0.0956121285756429  ,0.0054480868931101305,800                      ,5                             ,2                            ,sqrt                     ,80                    ,"{'model__n_estimators': 800, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 80}"    ,0.3535115034715016 ,0.5309230025857956 ,0.48065907331520163,0.45503119312416623,0.07466057052558969 ,15
15,2.5981741746266684,0.10231073467135174 ,0.10527737935384114 ,0.0026185687134480705,800                      ,5                             ,2                            ,sqrt                     ,110                   ,"{'model__n_estimators': 800, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 110}"   ,0.3535115034715016 ,0.5309230025857956 ,0.48065907331520163,0.45503119312416623,0.07466057052558969 ,15
16,1.056395451227824 ,0.048805498285363895,0.04863842328389486 ,0.004985605092599553 ,400                      ,10                            ,1                            ,sqrt                     ,10                    ,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 10}"   ,0.36799356565332453,0.5202400790947328 ,0.4750709847148952 ,0.45443487648765085,0.06384427374918408 ,17
17,22.551109790802002,0.20965512668620465 ,0.17490013440450033 ,0.006173198212997331 ,1400                     ,10                            ,1                            ,auto                     ,60                    ,"{'model__n_estimators': 1400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'auto', 'model__max_depth': 60}"  ,0.3809685527465444 ,0.509274350027686  ,0.47216011320670914,0.45413433866031316,0.05390912609806414 ,18
18,24.942071358362835,0.1761123037505812  ,0.18823766708374023 ,0.005243333354829168 ,1600                     ,10                            ,1                            ,auto                     ,40                    ,"{'model__n_estimators': 1600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'auto', 'model__max_depth': 40}"  ,0.38066690460774144,0.5097862176936905 ,0.47185511556485793,0.45410274595542993,0.05418677097477538 ,19
19,31.385894934336346,0.14703337896225022 ,0.24654316902160645 ,0.012247031240682372 ,2000                     ,10                            ,1                            ,auto                     ,90                    ,"{'model__n_estimators': 2000, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'auto', 'model__max_depth': 90}"  ,0.38101316209749125,0.5086867907185075 ,0.4709407636930929 ,0.45354690550303056,0.05355401378276139 ,20
20,20.951019207636516,0.07240633116721289 ,0.16824165980021158 ,0.004108415789520616 ,1200                     ,5                             ,1                            ,auto                     ,90                    ,"{'model__n_estimators': 1200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 1, 'model__max_features': 'auto', 'model__max_depth': 90}"   ,0.37641116685015974,0.5103702722362788 ,0.46909907247975013,0.4519601705220629 ,0.05601527737560384 ,21
21,6.194463650385539 ,0.1861457924508534  ,0.05230156580607096 ,0.003086593090534941 ,400                      ,10                            ,1                            ,auto                     ,100                   ,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'auto', 'model__max_depth': 100}"  ,0.3746020739286192 ,0.5072916197173934 ,0.4735487481167544 ,0.45181414725425567,0.056308220515284745,22
22,9.477254470189413 ,0.05071711920837437 ,0.07562700907389323 ,0.003671929599984487 ,600                      ,10                            ,1                            ,auto                     ,                      ,"{'model__n_estimators': 600, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'auto', 'model__max_depth': None}" ,0.3768292887485527 ,0.5052914470937364 ,0.47259840472943926,0.45157304685724275,0.054511043449416215,23
23,18.26422111193339 ,0.15180670204002644 ,0.1452498435974121  ,0.00623334973589477  ,1000                     ,2                             ,1                            ,auto                     ,20                    ,"{'model__n_estimators': 1000, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'auto', 'model__max_depth': 20}"   ,0.3757478842265567 ,0.5088612515602773 ,0.4697392246603713 ,0.4514494534824018 ,0.05586101167503368 ,24
24,3.37906821568807  ,0.12874672677378915 ,0.13792022069295248 ,0.0053510960262899004,1200                     ,5                             ,2                            ,sqrt                     ,10                    ,"{'model__n_estimators': 1200, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10}"   ,0.3422805087277708 ,0.52625136432212   ,0.4762514553685434 ,0.44826110947281145,0.07766987199917037 ,25
25,26.220346609751385,0.23456270554777703 ,0.22153472900390625 ,0.02365810346635275  ,2000                     ,10                            ,1                            ,auto                     ,10                    ,"{'model__n_estimators': 2000, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'auto', 'model__max_depth': 10}"  ,0.36716069267860385,0.5002531121803488 ,0.47029156341800826,0.44590178942565367,0.05700610399337788 ,26
