,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__max_iter,param_model__learning_rate_init,param_model__hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,2.6921417713165283,0.061381851132341646,0.027378082275390625,0.008573570777807965,lbfgs,100,0.4239006012024048,"(116, 116)","{'model__solver': 'lbfgs', 'model__max_iter': 100, 'model__learning_rate_init': 0.4239006012024048, 'model__hidden_layer_sizes': (116, 116)}",0.6715447154471544,0.6547231270358306,0.6547231270358306,0.6603303231729386,0.007929772823984098,1
1,20.819584767023724,0.6130489779544651,0.03391019503275553,0.007125815176661062,lbfgs,437,0.8278637274549099,"(81, 81, 81)","{'model__solver': 'lbfgs', 'model__max_iter': 437, 'model__learning_rate_init': 0.8278637274549099, 'model__hidden_layer_sizes': (81, 81, 81)}",0.6650406504065041,0.6482084690553745,0.6661237785016286,0.6597909659878357,0.008201990327982057,2
2,153.08082254727682,6.408521513655624,0.07649429639180501,0.02804632838210293,lbfgs,238,0.6204719438877756,"(710, 710, 710)","{'model__solver': 'lbfgs', 'model__max_iter': 238, 'model__learning_rate_init': 0.6204719438877756, 'model__hidden_layer_sizes': (710, 710, 710)}",0.6682926829268293,0.6465798045602605,0.6612377850162866,0.6587034241677922,0.009043580058919832,3
3,17.08077573776245,1.058240980915832,0.03792778650919596,0.015415853547817384,lbfgs,159,0.12633847695390782,"(280, 280)","{'model__solver': 'lbfgs', 'model__max_iter': 159, 'model__learning_rate_init': 0.12633847695390782, 'model__hidden_layer_sizes': (280, 280)}",0.6699186991869919,0.6482084690553745,0.6530944625407166,0.6570738769276944,0.009299115629614479,4
4,63.66626842816671,0.015283359641057115,0.02747805913289388,0.0014900788789969995,lbfgs,834,0.24536332665330662,"(870,)","{'model__solver': 'lbfgs', 'model__max_iter': 834, 'model__learning_rate_init': 0.24536332665330662, 'model__hidden_layer_sizes': (870,)}",0.6699186991869919,0.6384364820846905,0.6465798045602605,0.6516449952773143,0.013342279069914179,5
5,22.285255591074627,1.0315499005607165,0.02413153648376465,0.007236335897081712,lbfgs,496,0.7521206412825652,"(445,)","{'model__solver': 'lbfgs', 'model__max_iter': 496, 'model__learning_rate_init': 0.7521206412825652, 'model__hidden_layer_sizes': (445,)}",0.6617886178861788,0.6254071661237784,0.6596091205211726,0.6489349681770432,0.016660445257840044,6
6,88.49687655766805,3.2440214759966923,0.027241071065266926,0.0007335026879817738,lbfgs,1131,0.7286763527054109,"(870,)","{'model__solver': 'lbfgs', 'model__max_iter': 1131, 'model__learning_rate_init': 0.7286763527054109, 'model__hidden_layer_sizes': (870,)}",0.656910569105691,0.6400651465798045,0.6482084690553745,0.6483947282469567,0.0068783759897109295,7
7,236.34687987963358,8.854251695837895,0.04171156883239746,0.010056202451088955,lbfgs,2381,0.6673605210420842,"(280, 280)","{'model__solver': 'lbfgs', 'model__max_iter': 2381, 'model__learning_rate_init': 0.6673605210420842, 'model__hidden_layer_sizes': (280, 280)}",0.6536585365853659,0.6172638436482085,0.6693811074918566,0.6467678292418104,0.021827561833730698,8
8,601.8563615481058,19.970987000811302,0.07674352327982585,0.002003239138857901,lbfgs,794,0.48701983967935875,"(624, 624, 624, 624)","{'model__solver': 'lbfgs', 'model__max_iter': 794, 'model__learning_rate_init': 0.48701983967935875, 'model__hidden_layer_sizes': (624, 624, 624, 624)}",0.6455284552845528,0.6400651465798045,0.6530944625407166,0.6462293548016914,0.005342235094175666,9
9,416.79474345843,19.47534965365939,0.044336795806884766,0.020149636968676915,lbfgs,4067,0.6186685370741483,"(280, 280)","{'model__solver': 'lbfgs', 'model__max_iter': 4067, 'model__learning_rate_init': 0.6186685370741483, 'model__hidden_layer_sizes': (280, 280)}",0.6422764227642277,0.6416938110749185,0.6498371335504886,0.644602455796545,0.0037091101795313102,10
10,53.602002700169884,7.911333242289676,0.015836477279663086,0.0013675166934311006,lbfgs,9861,0.08666352705410822,"(112,)","{'model__solver': 'lbfgs', 'model__max_iter': 9861, 'model__learning_rate_init': 0.08666352705410822, 'model__hidden_layer_sizes': (112,)}",0.6487804878048781,0.6221498371335505,0.6628664495114006,0.6445989248166097,0.01688341854504324,11
11,2.1947262287139893,0.150414692525698,0.01498715082804362,0.0005083380195108605,adam,298,0.016330661322645292,"(116, 116)","{'model__solver': 'adam', 'model__max_iter': 298, 'model__learning_rate_init': 0.016330661322645292, 'model__hidden_layer_sizes': (116, 116)}",0.6585365853658537,0.6335504885993485,0.6400651465798045,0.6440507401816689,0.01058268948726196,12
12,74.12611103057861,15.71715251901817,0.01828320821126302,0.0007524703221170126,lbfgs,10000,0.6709673346693387,"(30, 30, 30, 30)","{'model__solver': 'lbfgs', 'model__max_iter': 10000, 'model__learning_rate_init': 0.6709673346693387, 'model__hidden_layer_sizes': (30, 30, 30, 30)}",0.6601626016260163,0.6237785016286646,0.6449511400651465,0.6429640811066091,0.014920053298225848,13
13,63.19808506965637,3.2692151151091786,0.029651085535685223,0.002669463997884135,lbfgs,1905,0.7503172344689379,"(116, 116)","{'model__solver': 'lbfgs', 'model__max_iter': 1905, 'model__learning_rate_init': 0.7503172344689379, 'model__hidden_layer_sizes': (116, 116)}",0.640650406504065,0.6368078175895765,0.6498371335504886,0.6424317858813767,0.0054663060633150864,14
