ID,Time to create graph,Time to write graph,Space Needed
0bd73276f63d46f1cc6798db1a259d5a-md5__zeroOut_17__freeIn_21__seed_0,1.551324731,0.0607103809999998,2478321
0b51714d3e3e29a2301d0505ee832648-baseballcover4with50,6.501828065,5.278094003,196310418
0c3af30dc0fd2af42d137d99b81bef0e-baseballcover1with2,0.8494031009999998,0.8592795679999998,38745522
0c4355730d11bb18582d00f7266fdf27-puzzle34_unsat,0.2191430000000001,0.1203178,3252635
00d3338cd6cdfa099ff29f036c77d93d-sha256__zeroOut_17__freeIn_21__seed_1,4.975144235,0.168731406,6943803
0a11a3dcc342fba24aeda274ad56d478-crafted_n11_d6_c4_num19,18.638414815,9.748075403,289424385
0b57012222ca65c940cdfc30e14a9ac2-floodit_7_n40_k10,4.534043611,2.377817550999999,82798889
00ae4072f9b57d5d3cfe8919aff1b776-163.smt2,7.733649896000001,2.2011516790000005,110369940
0c737d87e8f42161dec9690eeac5b10c-sha256__zeroOut_19__freeIn_23__seed_0,4.694027932999999,0.1613575249999996,6943803
0b1041a1e55af6f3d2c63462a7400bd2-fermat-907547022132073,0.1284662009999999,0.0222616100000001,883453
0a1a22685fee6a5cdbc0430cf0d6b3fc-abw-V-nos6.mtx-w335,82.82037522499999,100.538408838,5882508628
0a8fe895de976b00368bbcb2e44a2c85-Kakuro-easy-146-ext.xml.hg_7,86.36741072699999,26.09177358000001,1011581395
0b8b20b77f9908ee3860d29ddcfcfbc2-66.smt2,0.6804159029999999,0.2260953929999998,9922572
0c1bc9d01700f3bc1a33741370bfe225-b2005-p5-14x14c17h9-Ser6-0,86.927903749,7.598642325,255259707
00d41fe5805aef9e2e3b63e1d9497edf-UNSAT_MS_opt_termes_p15.pddl_139,4.880659441000001,4.637850020999999,220888879
0aeec01727d2c23cd3f075494541a7b4-100.smt2,0.530189067,0.1857432029999999,7884137
0bdb73f76e34b838e9da2207268e78d8-Sz512_15128_0.smt2,0.0551189069999999,0.020490434,812310
0ba5ff25b8f67d50e7adcdde9716a5c2-sha1__zeroOut_08__freeIn_12__seed_2,4.631817568000001,0.0878533060000004,3660531
0c9bfd5bcb3717063b82f637c7ce671b-ssAES_4-4-4_round_8-10_faultAt_8_fault_injections_2_seed_1579630418,0.0382074000000001,0.011148568,474916
0c1229dd6d69a3435089228613a4586a-combined-crypto1-wff-seed-134-wffvars-500-cryptocplx-31-overlap-2,0.11682659,0.0076361609999999,318070
0b348eb6b61e4f0026437fda402c9b62-vlsat2_16676_1598591.dimacs,2.3142235410000005,1.1582364269999998,34273431
0ae917c2e0c1d39cbe411c29b2f5ff08-dislog_a14_x14_n24,0.3143563299999999,0.0499711599999999,1937379
000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre,2.358715515,0.5681879490000004,20996933
