   ,mean_fit_time      ,std_fit_time         ,mean_score_time     ,std_score_time       ,param_model__C    ,param_model__cache_size,param_model__gamma   ,param_model__kernel,param_model__max_iter,params                                                                                                                                              ,split0_test_score      ,split1_test_score     ,split2_test_score    ,mean_test_score       ,std_test_score      ,rank_test_score
0  ,0.09227991104125977,0.0020536502405179   ,0.08295273780822754 ,0.0037389011126648082,569.4873400744333 ,200                    ,0.08798371425384345  ,rbf                ,1131                 ,"{'model__C': 569.4873400744333, 'model__cache_size': 200, 'model__gamma': 0.08798371425384345, 'model__kernel': 'rbf', 'model__max_iter': 1131}"   ,0.16205699829470976    ,0.1383722631994021    ,0.2295362128356746   ,0.17665515810992882   ,0.038622498890449976,1
1  ,0.08395036061604817,0.0037385401364865957,0.0696273644765218  ,0.0028652477484995445,307.75624127880235,200                    ,0.2149812696273511   ,rbf                ,7619                 ,"{'model__C': 307.75624127880235, 'model__cache_size': 200, 'model__gamma': 0.2149812696273511, 'model__kernel': 'rbf', 'model__max_iter': 7619}"   ,0.1559662277540168     ,0.14484289996775523   ,0.22453540195257993  ,0.175114843224784     ,0.03523942700996333 ,2
2  ,0.09113152821858723,0.0055166433911376725,0.07492947578430176 ,0.00691274324945377  ,251.5488155500023 ,500                    ,0.2699018361547118   ,rbf                ,4881                 ,"{'model__C': 251.5488155500023, 'model__cache_size': 500, 'model__gamma': 0.2699018361547118, 'model__kernel': 'rbf', 'model__max_iter': 4881}"    ,0.15827529372593396    ,0.14135394903332732   ,0.21579554182754046  ,0.17180826152893391   ,0.03186161324229766 ,3
3  ,0.08261418342590332,0.002357700783356541 ,0.07062530517578125 ,0.007314149843115244 ,356.5320964602151 ,1000                   ,0.14303927530768643  ,rbf                ,4405                 ,"{'model__C': 356.5320964602151, 'model__cache_size': 1000, 'model__gamma': 0.14303927530768643, 'model__kernel': 'rbf', 'model__max_iter': 4405}"  ,0.152304812562286      ,0.13607945454796677   ,0.221130037564773    ,0.16983810155834192   ,0.03686879968337342 ,4
4  ,0.09025041262308757,0.0004951900637903627,0.0775601863861084  ,0.005293564284848546 ,231.42327694826474,200                    ,0.24681007631678328  ,rbf                ,6627                 ,"{'model__C': 231.42327694826474, 'model__cache_size': 200, 'model__gamma': 0.24681007631678328, 'model__kernel': 'rbf', 'model__max_iter': 6627}"  ,0.1498924640749778     ,0.13652749651025242   ,0.20835386438425818  ,0.1649246083231628    ,0.031190071080571806,5
5  ,0.08861986796061198,0.003398047036657558 ,0.07528479894002278 ,0.012216386850363914 ,366.4960122522567 ,1000                   ,0.11978638819127894  ,rbf                ,2956                 ,"{'model__C': 366.4960122522567, 'model__cache_size': 1000, 'model__gamma': 0.11978638819127894, 'model__kernel': 'rbf', 'model__max_iter': 2956}"  ,0.14739626960416996    ,0.12780239876259858   ,0.2164205927494045   ,0.16387308703872436   ,0.038007983467946295,6
6  ,0.08034205436706543,0.0033072063765152353,0.06132626533508301 ,0.0042044649161206635,356.77981382916994,500                    ,0.1191728976307604   ,rbf                ,7758                 ,"{'model__C': 356.77981382916994, 'model__cache_size': 500, 'model__gamma': 0.1191728976307604, 'model__kernel': 'rbf', 'model__max_iter': 7758}"   ,0.1450401160735879     ,0.12627734906053945   ,0.2152153642045842   ,0.16217760977957052   ,0.03827760792188673 ,7
7  ,0.08632135391235352,0.0012359910261734574,0.06401244799296062 ,0.007757955957924524 ,275.9051199092104 ,200                    ,0.16269958059939782  ,rbf                ,5020                 ,"{'model__C': 275.9051199092104, 'model__cache_size': 200, 'model__gamma': 0.16269958059939782, 'model__kernel': 'rbf', 'model__max_iter': 5020}"   ,0.1416207507758075     ,0.12591059565585372   ,0.2077393052729315   ,0.15842355056819757   ,0.035456405063555324,8
8  ,0.08462214469909668,0.004106261894917136 ,0.06828983624776204 ,0.0020546934848763216,409.9747585992971 ,500                    ,0.07673852499523488  ,rbf                ,4841                 ,"{'model__C': 409.9747585992971, 'model__cache_size': 500, 'model__gamma': 0.07673852499523488, 'model__kernel': 'rbf', 'model__max_iter': 4841}"   ,0.1351313766698813     ,0.11865226712330712   ,0.20727957230501737  ,0.15368773869940192   ,0.03848769270620569 ,9
9  ,0.08305907249450684,0.003883677699393568 ,0.0676287015279134  ,0.003856938958797626 ,282.2314019384236 ,1000                   ,0.12936040041961344  ,rbf                ,6091                 ,"{'model__C': 282.2314019384236, 'model__cache_size': 1000, 'model__gamma': 0.12936040041961344, 'model__kernel': 'rbf', 'model__max_iter': 6091}"  ,0.13483855325126703    ,0.11911768053514615   ,0.20362943072442752  ,0.1525285548369469    ,0.036699328759437294,10
10 ,0.11240895589192708,0.009577885103168544 ,0.10006141662597656 ,0.002955985240197024 ,162.0040163325974 ,200                    ,0.3502526922879482   ,rbf                ,6369                 ,"{'model__C': 162.0040163325974, 'model__cache_size': 200, 'model__gamma': 0.3502526922879482, 'model__kernel': 'rbf', 'model__max_iter': 6369}"    ,0.13000244452678966    ,0.11316684608175154   ,0.18084891698906103  ,0.14133940253253408   ,0.028770478424866075,11
11 ,0.09461180369059245,0.002055455177578623 ,0.09627914428710938 ,0.008725568268831871 ,176.7052538924657 ,200                    ,0.18221900464698573  ,rbf                ,2024                 ,"{'model__C': 176.7052538924657, 'model__cache_size': 200, 'model__gamma': 0.18221900464698573, 'model__kernel': 'rbf', 'model__max_iter': 2024}"   ,0.12656223918943144    ,0.11052499313053354   ,0.18181323935838234  ,0.1396334905594491    ,0.030535735587933044,12
