ID,Time_ReadGraph,Time_#ConnectedComponents,Time_DegreeCentrality,Time_DegreeAssortativity,Time_Centralization,Time_PageRank,Time_KatzCentrality,Time_BetweennessCentrality,Time_#Communities,Time_CommunitySize,Time_ClusterImbalance,Time_IsProperClustering,Time_IsSingletonClustering,Time_IsOneClustering,Time_EdgeCut,Time_Modularity,Time_HubDominance,Time_GlobalIntrapartitionDensity,Time_GlobalClusteringCoefficient
88d151d4e3c6ba9bd78454de141cd108,103.69882766800038,0.6149912780001614,1.0513158759986254,1.7070613899995806,0.0247576510009821,42.68157503400107,9.491587467999125,254.99463217300035,133.15700678699977,133.28386002799925,134.06460825199974,133.16868016700028,133.9650333640002,134.18935569800124,133.45497892800086,136.04399519199978,134.32854989999942,133.50960814100108,0.0205806060002942
4267e1ab8473d6d6e532c52f2c2ab8bf,0.2744795359994896,0.0008830050001051,0.3158133919996544,0.317299950999768,7.273299979715375e-05,17.48459642799935,8.096740650999891,0.928460522000023,18.50318018300004,18.50656286699996,19.08256798000002,18.503223013000024,19.237580433000403,19.12057177099996,18.50654907600073,20.05721511000047,18.74685302600028,18.523926286999995,0.0872647879996293
03de316ba1e90305471a3b8620cb9cd7,0.1063415150001674,0.0002060450005956,0.3126729599998725,0.3130448869997053,1.3115999536239542e-05,1.241586510000161,700.5877883339999,0.4306164919998991,7.196167667999362,7.196962622999308,7.824941984998986,7.196288684999672,7.833510370999647,7.834768611999607,7.198024247999456,8.894859946998622,7.489949339999839,7.198493545999554,0.0615538230003949
b1c4bf432b8110eca82739bff3337730,2443.369512831,4.85620961999939,0.470844973999192,4.678061076999256,0.0040745240003161,697.2624385759991,28.81446763399981,440.442409407,228.3820601970001,228.45636330399967,229.0529006720008,228.38790485400023,228.9215430499989,229.1245722320018,230.3453087650014,240.62405920900164,230.5098936750001,230.4991300769998,0.0528433180006686
08c21a3bc091abcb67b883061e2381c9,3.513944889999948,0.0028043080001225,0.3149062049997155,0.3210693909995825,3.340299917908851e-05,14.671129264000228,10.632547846000309,1.071202023999831,14.873054155999853,14.8741002809993,15.476622177000536,14.873082006000004,15.493012455999631,15.493696841999736,14.890814997999769,16.571728656000232,15.185080629000367,14.880425129000288,0.057318175000546
e4cc0b4fb0efb76363cb55a50726a913,8.898563639999338,0.0007402919982268,0.2852038050004921,0.28728196800148,1.4657998690381646e-05,6.366200576998381,2355.302119918,0.5963081440022506,7.131095675998949,7.137089085001207,7.734434910998971,7.131110310001532,7.761848203997943,7.857766163997439,7.132386111999949,8.59443710800042,7.457640208998782,7.131738331998349,0.0530546530026185
95b8b6965d773a5c8c5d8704eb2196ea,138.47472770100012,0.0042906050002784,0.2149718419996134,0.2987395249992914,9.385800058225868e-05,34.07294510400061,99.83210765900004,1.799920557000405,23.247174954999537,23.248490306999884,23.86678487899917,23.247244358999524,23.85200083899963,23.865070576000107,23.252527289999307,24.76949226200032,23.57407387999956,23.255948381999588,0.0552305539995359
f2141cde748f165bac48de382470d993,71.71457540099982,0.7558870220000244,0.7129387229997519,2.158450371000072,0.012899773000754,97.93087548599942,23.67237580199981,386.42855090099874,48.19695787300043,48.62380448300064,49.32196495400058,48.20287810400077,48.89964122099991,48.9158437749993,48.80036193800152,52.32548383699941,49.38104893400123,48.92582331800077,0.0310273659997619
c2cd09b4537de6e215569560cf8646e4,6.472147560000167,0.030392982999956,0.38593060900007,0.4399737439998716,0.0022864779998599,21.85328938300017,5.903765392999958,18.063067091999983,58.32460864699988,58.32966297099984,58.97021412999993,58.32541870900013,58.955051630999606,58.96456318699984,58.36502692899967,59.91868352600022,58.62939693899989,58.36437972700014,0.026751281000088
05817b4e1add561af0e1165e01fb48cc,1.1388729160000002,0.0055109399999999,0.4664867159999999,0.4750846099999999,0.0002613479999999,29.659461901,8.184431235999998,2.1448179320000023,17.359352761000004,17.363066106000012,17.979980251999997,17.359512882000004,17.982471403000005,17.89597701600001,17.365637449000005,18.860431866000013,17.71396868,17.370782190999996,0.07180563
e87b1032f86cd784eba018eb8c6358de,1712.4052447819995,0.0343108990000473,0.3256221579995326,0.4097319689999494,7.578800068586133e-05,8.906203981000544,11.810894964,3.417262968999239,12.882251686000018,12.887120682000386,13.529092278999997,12.882306308000809,13.497109630000525,13.418150173999493,13.055813568999838,14.651066651000292,13.267280552000557,12.926811007000651,0.0754091440003321
ac2165cbc6c18e4e47f3b8741553e082,1.8304693939999763,0.0059733030000188,0.3315953010000498,0.3423060100000725,0.0005886729999815,20.88814503200001,6.336081139999976,3.718569688999992,32.853513351000004,32.86066324300003,33.430454525000016,32.85375073099999,33.50973725199998,33.480063159999986,32.86098707299999,34.32869826900003,33.13622196799997,32.859060881000005,0.0764845200000081
0227c865edaeda75e13eea36d57b7eed,0.5235458619999918,0.0030337700000018,0.3046493230003761,0.312354026000321,0.0001784450005288,23.82039506000001,6.262980684000468,1.425947861000168,44.51663224099957,44.53287591099979,45.25589437799954,44.51673455699984,45.0776558259995,45.1979551229997,44.52021936500023,45.94668472399917,44.82571896299942,44.54474503399979,0.1127926310000475
708cf84971c0919fd60b0b2acdee4fc8,0.730017475000011,0.0006061960000351,0.3079880450000019,0.3120414819999837,1.5914000016437058e-05,8.59861048099998,33.20339195099996,0.6274609239999904,10.144157097000004,10.14485415400003,10.839558000000013,10.144169868000006,10.654935452000018,10.888688213000025,10.145125610000036,11.587642686000038,10.563103256999966,10.146493894000002,0.0158085939999637
96e38559d1e0f6d330dd3a976c7b1ab6,31492.079751916,0.7411267459974624,0.6137322739959927,0.966591560994857,0.0103745660017011,79.18878996600688,12.121208237003884,143.91530603700085,267.7402486209976,267.759387387996,271.6615052099951,267.74411992800015,271.36388705999707,271.440258319999,268.061802391996,287.01770812299947,273.02360213799693,268.0413290849974,0.0185602749988902
50468d740d0d9cd69c43e4122014d60e,0.9165408110002318,0.000501084001371,0.2849510579999332,0.2872900469992601,2.1281999579514377e-05,18.380863889000462,26.599893893000623,0.5208356710008957,17.654634858999998,17.667478465000386,18.2441218189997,17.65466295400074,18.24776361600016,18.427909997000825,17.65782926099928,19.26438077900093,17.831584986999587,17.66986234400065,0.055870109999887
