   ,mean_fit_time       ,std_fit_time          ,mean_score_time     ,std_score_time       ,param_model__C    ,param_model__cache_size,param_model__class_weight,param_model__gamma   ,param_model__kernel,param_model__max_iter,params                                                                                                                                                                                 ,split0_test_score  ,split1_test_score  ,split2_test_score  ,mean_test_score    ,std_test_score        ,rank_test_score
0  ,0.10227441787719727 ,0.007360665929328837  ,0.052636941274007164,0.0055535756422442585,114.88748725771671,200                    ,                         ,0.038415718829486856 ,rbf                ,8214                 ,"{'model__C': 114.88748725771671, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.038415718829486856, 'model__kernel': 'rbf', 'model__max_iter': 8214}"       ,0.6594360086767896 ,0.6746203904555315 ,0.6456521739130435 ,0.6599028576817881 ,0.011830831286888199  ,1
1  ,0.08761533101399739 ,0.006178819128905037  ,0.05530730883280436 ,0.010335111497762457 ,27.970020366242128,500                    ,                         ,0.04993874970400238  ,rbf                ,8769                 ,"{'model__C': 27.970020366242128, 'model__cache_size': 500, 'model__class_weight': None, 'model__gamma': 0.04993874970400238, 'model__kernel': 'rbf', 'model__max_iter': 8769}"        ,0.6529284164859002 ,0.6681127982646421 ,0.6543478260869565 ,0.6584630136124997 ,0.006847989426512304  ,2
2  ,0.08396625518798828 ,0.0014613555319536987 ,0.06263017654418945 ,0.004107493700451599 ,13.588904129742799,200                    ,                         ,0.14696479404457352  ,rbf                ,9841                 ,"{'model__C': 13.588904129742799, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.14696479404457352, 'model__kernel': 'rbf', 'model__max_iter': 9841}"        ,0.6507592190889371 ,0.6702819956616052 ,0.6521739130434783 ,0.6577383759313402 ,0.0088884620604232    ,3
3  ,0.09194620450337727 ,0.0008161454483046196 ,0.054979403813680015,0.00787859499267289  ,22.273586212869027,1000                   ,                         ,0.08975047213097606  ,rbf                ,2679                 ,"{'model__C': 22.273586212869027, 'model__cache_size': 1000, 'model__class_weight': None, 'model__gamma': 0.08975047213097606, 'model__kernel': 'rbf', 'model__max_iter': 2679}"       ,0.6507592190889371 ,0.6702819956616052 ,0.6521739130434783 ,0.6577383759313402 ,0.0088884620604232    ,3
4  ,0.08195265134175618 ,0.002941115468691975  ,0.04897332191467285 ,0.003555329801512415 ,12.575011982910764,200                    ,                         ,0.09913991764332203  ,rbf                ,8273                 ,"{'model__C': 12.575011982910764, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.09913991764332203, 'model__kernel': 'rbf', 'model__max_iter': 8273}"        ,0.6529284164859002 ,0.6767895878524945 ,0.6434782608695652 ,0.6577320884026533 ,0.014017074688958504  ,5
5  ,0.08129080136617024 ,0.004194481406062568  ,0.05896258354187012 ,0.013130856524860688 ,20.707798214607084,500                    ,                         ,0.055414455006983054 ,rbf                ,4544                 ,"{'model__C': 20.707798214607084, 'model__cache_size': 500, 'model__class_weight': None, 'model__gamma': 0.055414455006983054, 'model__kernel': 'rbf', 'model__max_iter': 4544}"       ,0.6464208242950108 ,0.6702819956616052 ,0.6521739130434783 ,0.6562922443333647 ,0.010167246897314908  ,6
6  ,0.10361091295878093 ,0.006539115052679068  ,0.056635777155558266,0.009382411534903528 ,84.50031023056181 ,200                    ,                         ,0.039353208680308685 ,rbf                ,4206                 ,"{'model__C': 84.50031023056181, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.039353208680308685, 'model__kernel': 'rbf', 'model__max_iter': 4206}"        ,0.6572668112798264 ,0.6724511930585684 ,0.6391304347826087 ,0.6562828130403345 ,0.013620925627448544  ,7
7  ,0.09727613131205241 ,0.003769220821808794  ,0.04763936996459961 ,0.008050735147871548 ,124.54172888985389,200                    ,                         ,0.03936349089180845  ,rbf                ,8095                 ,"{'model__C': 124.54172888985389, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.03936349089180845, 'model__kernel': 'rbf', 'model__max_iter': 8095}"        ,0.6594360086767896 ,0.6724511930585684 ,0.6369565217391304 ,0.6562812411581628 ,0.014661340129541818  ,8
8  ,0.06263105074564616 ,0.00449658112852992   ,0.049395084381103516,0.009057194180531847 ,70.37074897567544 ,200                    ,                         ,0.03533023155195272  ,rbf                ,457                  ,"{'model__C': 70.37074897567544, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.03533023155195272, 'model__kernel': 'rbf', 'model__max_iter': 457}"          ,0.6572668112798264 ,0.6767895878524945 ,0.6347826086956522 ,0.656279669275991  ,0.017163476949084832  ,9
9  ,0.08928259213765462 ,0.005903948358785342  ,0.051303704579671226,0.002356402210386068 ,22.697742213232473,200                    ,                         ,0.09134584129003875  ,rbf                ,4901                 ,"{'model__C': 22.697742213232473, 'model__cache_size': 200, 'model__class_weight': None, 'model__gamma': 0.09134584129003875, 'model__kernel': 'rbf', 'model__max_iter': 4901}"        ,0.6464208242950108 ,0.6702819956616052 ,0.65               ,0.6555676066522054 ,0.010506745694132461  ,10
